577,parti politique,groupe parlementaire,twitter,
Michel Liebgott,Parti socialiste,SRC,MichelLiebgott,
Martine Lignières-Cassou,Parti socialiste,SRC,Lignierescassou ,
Audrey Linkenheld,Parti socialiste,SRC,,?
François Loncle,Parti socialiste,SRC,,?
Gabrielle Louis-Carabin,Démocratie et République,a. SRC,,?
Lucette Lousteau,Parti socialiste,SRC,LucetteLousteau,
Véronique Louwagie,Les Républicains,LR,VeroLouwagie,
Lionnel Luca,Les Républicains,LR,lionnelluca06 ,
Victorin Lurel,Parti socialiste,SRC,VictorinLurel ,
Gilles Lurton,Les Républicains,LR,gilleslurton ,
Jean-Pierre Maggi,Parti radical de gauche,RRDP,jpmaggi_depute ,
Noël Mamère,Europe Ecologie Les Verts,NI,noelmamere ,
Jean-François Mancel,Les Républicains,LR,JFMancel ,
Jacqueline Maquet,Parti socialiste,SRC,,?
Laurent Marcangeli,Les Républicains,LR,LMarcangeli ,
Marie-Lou Marcel,Parti socialiste,SRC,mloumarcel ,
Marion Maréchal-Le Pen,Front national,NI,marion_m_le_pen,
Thierry Mariani,Les Républicains,LR,ThierryMARIANI ,
Alfred Marie-Jeanne,Mouvement indépendantiste martiniquais,GDR,Chabennou,
Hervé Mariton,Les Républicains,LR,HerveMariton ,
Alain Marleix,Les Républicains,LR,MARLEIXAlain ,
Olivier Marleix,Les Républicains,LR,oliviermarleix,
Franck Marlin,Les Républicains,a. LR,franckmarlin ,
Jean-René Marsac,Parti socialiste,SRC,,?
Alain Marsaud,Les Républicains,LR,AlMarsaud,
Philippe Martin,Parti socialiste,SRC,DeputeMartin ,
Philippe Armand Martin,Les Républicains,LR,,?
Martine Martinel,Parti socialiste,SRC,MartineMartinel ,
Patrice Martin-Lalande,Les Républicains,LR,deputepml,
Alain Marty,Les Républicains,LR,,?
Frédérique Massat,Parti socialiste,SRC,Fmassat09 ,
Véronique Massonneau,Parti socialiste,SRC,VMassonneau ,
Jean-Claude Mathis,Les Républicains,LR,,?
Sandrine Mazetier,Parti socialiste,SRC,S_Mazetier ,
François de Mazières,,a. LR,fdemazieres,
Michel Ménard,Parti socialiste,SRC,Michel_MENARD ,
Patrick Mennucci,Parti socialiste,SRC,patrickmennucci ,
Gérard Menuel,Les Républicains,LR,,?
Damien Meslot,Les Républicains,LR,DMeslot,
Kléber Mesquida,Parti socialiste,SRC,kmesquida,
Philippe Meunier,Les Républicains,LR,MeunierPh,
Jean-Claude Mignon,Les Républicains,LR,JC_Mignon77 ,
Sylvia Pinel,,RRDP,sylviapinel,
Paul Molac,Parti socialiste,a. SRC,Paul_Molac ,
Pierre Morange,Les Républicains,LR,PierreMorange ,
Yannick Moreau,Les Républicains,LR,YannickMOREAU ,
Pierre Morel-A-L'Huissier,,LR,MORELPIERRE ,
Hervé Morin,Association PSLE - Nouveau Centre,UDI,Herve_Morin ,
Alain Moyne-Bressand,Les Républicains,LR,moyne_bressand ,
Pierre-Alain Muet,Parti socialiste,SRC,pierrealainmuet ,
Jacques Myard,Les Républicains,LR,jacquesmyard,
Philippe Naillet,,SRC,,?
Dominique Nachury,Les Républicains,LR,,?
Philippe Nauche,Parti socialiste,SRC,PhilippeNauche ,
Yves Nicolin,Les Républicains,LR,ynicolin,
Nathalie Nieson,Parti socialiste,SRC,nnieson ,
Jean-Philippe Nilor,Mouvement indépendantiste martiniquais,GDR,,?
Philippe Noguès,Non rattaché,NI,PhilippeNogues ,
Robert Olive,Parti socialiste,SRC,,?
Maud Olivier,Parti socialiste,SRC,OlivierMaud ,
Patrick Ollier,Les Républicains,LR,patrick_ollier ,
Dominique Orliac,Parti radical de gauche,RRDP,D_Orliac,
Monique Orphé,Parti socialiste,SRC,moniqueorphe ,
Michel Pajon,Parti socialiste,SRC,MichelPajon,
Bertrand Pancher,"Union des Radicaux, centristes, indépendants et démocrates",UDI,BertrandPancher ,
Luce Pane,Parti socialiste,SRC,LucePane1,
Christian Paul,Parti socialiste,SRC,christianpaul58 ,
Rémi Pauvros,Parti socialiste,SRC,RPauvros,
Germinal Peiro,Parti socialiste,SRC,germinalpeiro ,
Jacques Pélissard,Les Républicains,LR,pelissard ,
Hervé Pellois,Parti socialiste,a. SRC,HervePellois ,
Jean-Claude Perez,Parti socialiste,SRC,,?
Stéphanie Pernod-Beaudon,,LR,stefpernod,
Bernard Perrut,Les Républicains,LR,B_Perrut ,
Édouard Philippe,,LR,EPhilippe_LH ,
Sébastien Pietrasanta,Parti socialiste,SRC,S_PIETRASANTA ,
Christine Pirès-Beaune,,SRC,cpiresbeaune ,
Michel Piron,"Union des Radicaux, centristes, indépendants et démocrates",UDI,MichelPiron ,
Philippe Plisson,Parti socialiste,SRC,plisson2012 ,
Élisabeth Pochon,,SRC,ElisabethPochon ,
Jean-Frédéric Poisson,Les Républicains,LR,jfpoisson78 ,
Bérengère Poletti,Les Républicains,LR,Poletti_B,
Napole Polutélé,,SRC,,?
Axel Poniatowski,Les Républicains,LR,AxelPoniatowski ,
Josette Pons,Les Républicains,LR,josettepons,
Pascal Popelin,Parti socialiste,SRC,pascalpopelin ,
Dominique Potier,Parti socialiste,SRC,PotierDominique,
Michel Pouzol,Parti socialiste,SRC,MichelPouzol ,
Régine Povéda,Parti socialiste,SRC,ReginePoveda,
Patrice Prat,Parti socialiste,SRC,PatricePrat ,
Christophe Premat,Parti socialiste,SRC,prematc,
Christophe Priou,Les Républicains,LR,,?
